IDStation,NameStation,nada
693,Sannazzaro de' Burgondi - AGIP,31
681,Moggio,37
705,Milano - Pascal Città Studi,39
677,Cremona - Via Fatebenefratelli,59
642,Pavia - via Folperti,71
703,Schivenoglia,79
501,Milano - viale Marche,366
504,Sesto S.Giovanni,366
514,Rho - via Statuto,366
517,Turbigo,366
528,Milano - Verziere,366
529,Cinisello Balsamo,366
531,Limito,366
539,Milano - viale Liguria,366
542,Meda,366
544,Cormano,366
545,Motta Visconti (aria),366
546,Magenta,366
548,Milano - via Senato,366
551,Arconate (aria),366
552,Varese - Vidoletti,366
554,Saronno - via Santuario,366
558,Busto Arsizio - Accam,366
560,Varese - via Copelli,366
561,Como - viale Cattaneo,366
564,Erba - via Battisti,366
565,Cantù - via Meucci,366
569,Sondrio - via Mazzini,366
571,Bormio,366
572,Morbegno - via Cortivacci,366
573,Colico,366
574,Lecco - Via Amendola,366
576,Merate,366
583,Bergamo - via Meucci,366
584,Bergamo - via Garibaldi,366
588,Tavernola Bergamasca,366
592,Treviglio,366
595,Filago - via Don Milani,366
596,Osio Sotto,366
598,S.Rocco al Porto,366
600,Lodi - viale Vignati,366
604,Tavazzano,366
606,S.Giuliano Milanese,366
607,Abbadia Cerreto,366
608,Codogno - via Trento,366
609,Casirate d`Adda,366
626,Corte de Cortesi,366
627,Cremona - p.zza Cadorna,366
629,Crema - via XI febbraio,366
633,Soresina,366
643,Pavia - p.zza Minerva,366
649,Brescia - Broletto,366
652,Brescia - via Turati,366
654,Sarezzo - via Minelli,366
655,Darfo (aria),366
656,Gambara,366
657,Lonato,366
659,Odolo,366
661,Rezzato,366
663,Mantova - via Ariosto,366
664,Mantova - p.zza Gramsci,366
665,Viadana,366
669,Brescia - Villaggio Sereno,366
670,Mantova - S.Agnese,366
672,Cornale (Voghera Energia),366
673,Voghera - via Pozzoni,366
674,Monza - via Machiavelli,366
679,Valmadrera,366
682,Ferrera Erbognone - ENI,366
683,Cassano d'Adda 2 - Via Milano,366
685,Calusco d' Adda,366
687,Ferno,366
690,Casoni - AGIP,366
695,Ponti sul Mincio,366
697,Borgofranco - loc. Bonizzo,366
706,Lecco - Via Sora,366
708,Parona,366
709,Vigevano - via Valletta,366
1264,Sondrio - via Paribelli,366
1265,Lodi - S. Alberto,366
1266,Bertonico,366
1269,Dalmine - via Verdi,366
1274,Perledo,366
1297,Spinadesco,366
1374,Monza Parco,366
